Experiment: 0
Latency: 200
Source: (0.75, -0.75, -0.50)
SourceSize: 0.4000
Target: (-0.75, 0.00, -0.75)
TargetSize: 0.2000

Trace:
time; position; button;
3.7292; (-0.69, -0.01, -0.75); False;
3.7292; (-0.70, -0.01, -0.75); False;
3.7400; (-0.70, -0.01, -0.75); False;
3.7400; (-0.70, -0.01, -0.74); False;
3.7400; (-0.71, -0.01, -0.74); False;
3.7509; (-0.71, -0.01, -0.74); False;
3.7509; (-0.71, -0.02, -0.74); False;
3.7600; (-0.71, -0.02, -0.74); False;
3.7620; (-0.71, -0.02, -0.74); False;
3.7620; (-0.71, -0.02, -0.74); False;
3.7731; (-0.72, -0.02, -0.74); False;
3.7731; (-0.72, -0.02, -0.74); False;
3.7800; (-0.72, -0.02, -0.74); False;
3.7854; (-0.72, -0.02, -0.74); False;
3.7854; (-0.72, -0.02, -0.74); False;
3.8000; (-0.72, -0.02, -0.74); True;
